ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Sodium Hypochlorite, Ammonium Hydroxide",['Water'],"['Sodium Hypochlorite', 'Ammonium Hydroxide']",Strong chemicals detected.,High,High,Banned
"Baking Soda, Vinegar, Essential Oils","['Baking Soda', 'Vinegar']",['Essential Oils'],"Mostly natural, some essential oils may cause irritation.",Low,Moderate,Approved
"Water, Chlorhexidine, Triclosan",['Water'],"['Chlorhexidine', 'Triclosan']","Triclosan detected, potential hormone disruptor.",High,High,Banned
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Lavender Extract, Phenoxyethanol","['Water', 'Lavender Extract']",['Phenoxyethanol'],"Preservative present, may cause mild irritation.",Moderate,Low,Pending
"Organic Coconut Oil, Jojoba Oil, Vitamin E","['Organic Coconut Oil', 'Jojoba Oil', 'Vitamin E']",[],Fully natural and gentle for babies.,Low,Low,Approved
"Oat Kernel Extract, Shea Butter, Artificial Fragrance","['Oat Kernel Extract', 'Shea Butter']",['Artificial Fragrance'],"Contains artificial fragrance, may irritate sensitive skin.",Moderate,Moderate,Approved
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Water, Aluminum Chlorohydrate, Synthetic Fragrance",['Water'],"['Aluminum Chlorohydrate', 'Synthetic Fragrance']","Contains aluminum compounds, potential health concerns.",High,Moderate,Banned
"Coconut Oil, Arrowroot Powder, Beeswax","['Coconut Oil', 'Arrowroot Powder', 'Beeswax']",[],"Fully natural ingredients, safe for use.",Low,Low,Approved
"Ethanol, Glycerin, Benzalkonium Chloride","['Ethanol', 'Glycerin']",['Benzalkonium Chloride'],Contains strong antibacterial agents.,Moderate,Moderate,Pending
"Whole Grain Wheat, Honey, Natural Flavor","['Whole Grain Wheat', 'Honey']",['Natural Flavor'],Mostly natural but contains flavor additives.,Low,Low,Approved
"Corn Syrup, Artificial Colors, BHA",['Corn Syrup'],"['Artificial Colors', 'BHA']",Contains artificial preservatives.,High,High,Banned
"Organic Peanuts, Sea Salt, Maltodextrin","['Organic Peanuts', 'Sea Salt']",['Maltodextrin'],Mostly natural but contains processed sugar derivative.,Moderate,Low,Pending
